


at:8	acertos:65.26	micro:0.71	macro:0.64	1750 selecionados	IBk
at:8	acertos:65.56	micro:0.72	macro:0.64	1750 selecionados	IBk
at:8	acertos:65.44	micro:0.71	macro:0.64	1750 selecionados	IBk
at:8	acertos:66.28	micro:0.72	macro:0.65	1750 selecionados	IBk
at:8	acertos:65.86	micro:0.71	macro:0.65	1750 selecionados	IBk
at:8	acertos:65.26	micro:0.7	macro:0.64	1750 selecionados	IBk
at:8	acertos:47.55	micro:0.55	macro:0.45	1750 selecionados	NaiveBayes
at:8	acertos:47.55	micro:0.55	macro:0.45	1750 selecionados	NaiveBayesSimple
at:8	acertos:59.4	micro:0.68	macro:0.56	1750 selecionados	J48
at:8	acertos:71.18	micro:0.79	macro:0.7	1750 selecionados	MultilayerPerceptron



at:8	acertos:61.33	micro:0.6	macro:0.58	1850 selecionados	SMO
at:8	acertos:62.66	micro:0.71	macro:0.61	1850 selecionados	IBk
at:8	acertos:63.69	micro:0.71	macro:0.62	1850 selecionados	IBk
at:8	acertos:64.95	micro:0.71	macro:0.63	1850 selecionados	IBk
at:8	acertos:65.2	micro:0.71	macro:0.64	1850 selecionados	IBk
at:8	acertos:65.62	micro:0.71	macro:0.64	1850 selecionados	IBk
at:8	acertos:65.44	micro:0.71	macro:0.64	1850 selecionados	IBk
at:8	acertos:66.16	micro:0.71	macro:0.65	1850 selecionados	IBk
at:8	acertos:65.86	micro:0.71	macro:0.65	1850 selecionados	IBk
at:8	acertos:65.2	micro:0.7	macro:0.64	1850 selecionados	IBk
at:8	acertos:47.61	micro:0.55	macro:0.45	1850 selecionados	NaiveBayes
at:8	acertos:47.55	micro:0.55	macro:0.45	1850 selecionados	NaiveBayesSimple
at:8	acertos:57.82	micro:0.66	macro:0.55	1850 selecionados	J48
at:8	acertos:71.54	micro:0.79	macro:0.7	1850 selecionados	MultilayerPerceptron



at:8	acertos:61.21	micro:0.6	macro:0.57	1950 selecionados	SMO
at:8	acertos:62.78	micro:0.71	macro:0.61	1950 selecionados	IBk
at:8	acertos:63.81	micro:0.71	macro:0.62	1950 selecionados	IBk
at:8	acertos:64.77	micro:0.71	macro:0.63	1950 selecionados	IBk
at:8	acertos:65.44	micro:0.72	macro:0.64	1950 selecionados	IBk
at:8	acertos:65.98	micro:0.72	macro:0.65	1950 selecionados	IBk
at:8	acertos:65.8	micro:0.72	macro:0.65	1950 selecionados	IBk
at:8	acertos:66.16	micro:0.71	macro:0.65	1950 selecionados	IBk
at:8	acertos:65.8	micro:0.71	macro:0.65	1950 selecionados	IBk
at:8	acertos:65.14	micro:0.7	macro:0.64	1950 selecionados	IBk
at:8	acertos:47.85	micro:0.55	macro:0.45	1950 selecionados	NaiveBayes
at:8	acertos:47.55	micro:0.55	macro:0.45	1950 selecionados	NaiveBayesSimple
at:8	acertos:57.95	micro:0.66	macro:0.54	1950 selecionados	J48
at:8	acertos:71.54	micro:0.79	macro:0.7	1950 selecionados	MultilayerPerceptron



at:8	acertos:61.15	micro:0.6	macro:0.57	2050 selecionados	SMO
at:8	acertos:62.9	micro:0.71	macro:0.62	2050 selecionados	IBk
at:8	acertos:64.05	micro:0.71	macro:0.62	2050 selecionados	IBk
at:8	acertos:64.95	micro:0.71	macro:0.63	2050 selecionados	IBk
at:8	acertos:65.62	micro:0.72	macro:0.65	2050 selecionados	IBk
at:8	acertos:65.98	micro:0.72	macro:0.65	2050 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2050 selecionados	IBk
at:8	acertos:66.16	micro:0.71	macro:0.65	2050 selecionados	IBk
at:8	acertos:66.1	micro:0.72	macro:0.65	2050 selecionados	IBk
at:8	acertos:65.08	micro:0.7	macro:0.64	2050 selecionados	IBk
at:8	acertos:47.73	micro:0.55	macro:0.45	2050 selecionados	NaiveBayes
at:8	acertos:47.73	micro:0.55	macro:0.45	2050 selecionados	NaiveBayesSimple
at:8	acertos:59.76	micro:0.68	macro:0.56	2050 selecionados	J48
at:8	acertos:71.66	micro:0.79	macro:0.7	2050 selecionados	MultilayerPerceptron



at:8	acertos:61.33	micro:0.61	macro:0.58	2150 selecionados	SMO
at:8	acertos:63.14	micro:0.71	macro:0.62	2150 selecionados	IBk
at:8	acertos:64.11	micro:0.71	macro:0.62	2150 selecionados	IBk
at:8	acertos:64.95	micro:0.71	macro:0.63	2150 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2150 selecionados	IBk
at:8	acertos:65.8	micro:0.72	macro:0.64	2150 selecionados	IBk
at:8	acertos:65.98	micro:0.72	macro:0.65	2150 selecionados	IBk
at:8	acertos:66.4	micro:0.72	macro:0.65	2150 selecionados	IBk
at:8	acertos:66.16	micro:0.72	macro:0.65	2150 selecionados	IBk
at:8	acertos:65.14	micro:0.7	macro:0.64	2150 selecionados	IBk
at:8	acertos:47.79	micro:0.55	macro:0.45	2150 selecionados	NaiveBayes
at:8	acertos:47.73	micro:0.55	macro:0.45	2150 selecionados	NaiveBayesSimple
at:8	acertos:59.34	micro:0.67	macro:0.56	2150 selecionados	J48
at:8	acertos:71.66	micro:0.8	macro:0.7	2150 selecionados	MultilayerPerceptron



at:8	acertos:61.27	micro:0.6	macro:0.58	2250 selecionados	SMO
at:8	acertos:63.2	micro:0.71	macro:0.62	2250 selecionados	IBk
at:8	acertos:64.11	micro:0.71	macro:0.62	2250 selecionados	IBk
at:8	acertos:64.89	micro:0.71	macro:0.63	2250 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2250 selecionados	IBk
at:8	acertos:65.86	micro:0.72	macro:0.65	2250 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2250 selecionados	IBk
at:8	acertos:66.53	micro:0.72	macro:0.65	2250 selecionados	IBk
at:8	acertos:66.16	micro:0.72	macro:0.65	2250 selecionados	IBk
at:8	acertos:65.14	micro:0.7	macro:0.64	2250 selecionados	IBk
