


at:11	acertos:82.02	micro:0.73	macro:0.58	1450 selecionados	IBk
at:11	acertos:81.88	micro:0.73	macro:0.58	1450 selecionados	IBk
at:11	acertos:81.84	micro:0.73	macro:0.58	1450 selecionados	IBk
at:11	acertos:56.62	micro:0.5	macro:0.39	1450 selecionados	NaiveBayes
at:11	acertos:56.58	micro:0.5	macro:0.39	1450 selecionados	NaiveBayesSimple
at:11	acertos:76.93	micro:0.67	macro:0.51	1450 selecionados	J48
at:11	acertos:82.38	micro:0.74	macro:0.6	1450 selecionados	MultilayerPerceptron



at:11	acertos:64.73	micro:0.44	macro:0.33	1550 selecionados	SMO
at:11	acertos:79.37	micro:0.7	macro:0.54	1550 selecionados	IBk
at:11	acertos:79.76	micro:0.7	macro:0.55	1550 selecionados	IBk
at:11	acertos:80.91	micro:0.71	macro:0.56	1550 selecionados	IBk
at:11	acertos:81.52	micro:0.73	macro:0.58	1550 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	1550 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	1550 selecionados	IBk
at:11	acertos:82.02	micro:0.73	macro:0.58	1550 selecionados	IBk
at:11	acertos:81.95	micro:0.73	macro:0.58	1550 selecionados	IBk
at:11	acertos:81.84	micro:0.73	macro:0.58	1550 selecionados	IBk
at:11	acertos:56.66	micro:0.5	macro:0.39	1550 selecionados	NaiveBayes
at:11	acertos:56.55	micro:0.5	macro:0.39	1550 selecionados	NaiveBayesSimple
at:11	acertos:76.96	micro:0.67	macro:0.51	1550 selecionados	J48
at:11	acertos:82.45	micro:0.74	macro:0.6	1550 selecionados	MultilayerPerceptron



at:11	acertos:64.76	micro:0.44	macro:0.33	1650 selecionados	SMO
at:11	acertos:79.37	micro:0.7	macro:0.54	1650 selecionados	IBk
at:11	acertos:79.8	micro:0.7	macro:0.55	1650 selecionados	IBk
at:11	acertos:80.91	micro:0.71	macro:0.56	1650 selecionados	IBk
at:11	acertos:81.59	micro:0.73	macro:0.58	1650 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	1650 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	1650 selecionados	IBk
at:11	acertos:82.06	micro:0.74	macro:0.58	1650 selecionados	IBk
at:11	acertos:82.02	micro:0.73	macro:0.58	1650 selecionados	IBk
at:11	acertos:81.77	micro:0.73	macro:0.58	1650 selecionados	IBk
at:11	acertos:56.55	micro:0.5	macro:0.39	1650 selecionados	NaiveBayes
at:11	acertos:56.51	micro:0.5	macro:0.39	1650 selecionados	NaiveBayesSimple
at:11	acertos:77.47	micro:0.68	macro:0.52	1650 selecionados	J48
at:11	acertos:82.42	micro:0.74	macro:0.6	1650 selecionados	MultilayerPerceptron



at:11	acertos:64.66	micro:0.44	macro:0.33	1750 selecionados	SMO
at:11	acertos:79.37	micro:0.7	macro:0.54	1750 selecionados	IBk
at:11	acertos:79.83	micro:0.7	macro:0.55	1750 selecionados	IBk
at:11	acertos:80.88	micro:0.72	macro:0.57	1750 selecionados	IBk
at:11	acertos:81.56	micro:0.73	macro:0.58	1750 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	1750 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	1750 selecionados	IBk
at:11	acertos:82.1	micro:0.74	macro:0.58	1750 selecionados	IBk
at:11	acertos:82.02	micro:0.73	macro:0.58	1750 selecionados	IBk
at:11	acertos:81.77	micro:0.73	macro:0.58	1750 selecionados	IBk
at:11	acertos:56.51	micro:0.5	macro:0.39	1750 selecionados	NaiveBayes
at:11	acertos:56.51	micro:0.5	macro:0.39	1750 selecionados	NaiveBayesSimple
at:11	acertos:77.4	micro:0.68	macro:0.52	1750 selecionados	J48
at:11	acertos:82.35	micro:0.74	macro:0.6	1750 selecionados	MultilayerPerceptron



at:11	acertos:64.84	micro:0.44	macro:0.34	1850 selecionados	SMO
at:11	acertos:79.48	micro:0.7	macro:0.54	1850 selecionados	IBk
at:11	acertos:79.83	micro:0.7	macro:0.55	1850 selecionados	IBk
at:11	acertos:80.88	micro:0.72	macro:0.57	1850 selecionados	IBk
at:11	acertos:81.59	micro:0.73	macro:0.58	1850 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	1850 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	1850 selecionados	IBk
at:11	acertos:82.13	micro:0.74	macro:0.59	1850 selecionados	IBk
at:11	acertos:82.1	micro:0.74	macro:0.58	1850 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	1850 selecionados	IBk
at:11	acertos:56.4	micro:0.5	macro:0.39	1850 selecionados	NaiveBayes
at:11	acertos:56.51	micro:0.5	macro:0.39	1850 selecionados	NaiveBayesSimple
at:11	acertos:77.5	micro:0.68	macro:0.52	1850 selecionados	J48
at:11	acertos:82.31	micro:0.74	macro:0.6	1850 selecionados	MultilayerPerceptron



at:11	acertos:64.8	micro:0.44	macro:0.34	1950 selecionados	SMO
at:11	acertos:79.33	micro:0.69	macro:0.54	1950 selecionados	IBk
at:11	acertos:79.76	micro:0.7	macro:0.55	1950 selecionados	IBk
at:11	acertos:80.84	micro:0.71	macro:0.57	1950 selecionados	IBk
at:11	acertos:81.52	micro:0.73	macro:0.58	1950 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	1950 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	1950 selecionados	IBk
at:11	acertos:82.1	micro:0.74	macro:0.58	1950 selecionados	IBk
at:11	acertos:82.13	micro:0.74	macro:0.58	1950 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	1950 selecionados	IBk
at:11	acertos:56.48	micro:0.5	macro:0.39	1950 selecionados	NaiveBayes
at:11	acertos:56.48	micro:0.5	macro:0.39	1950 selecionados	NaiveBayesSimple
at:11	acertos:77.65	micro:0.68	macro:0.52	1950 selecionados	J48
at:11	acertos:82.35	micro:0.74	macro:0.6	1950 selecionados	MultilayerPerceptron



at:11	acertos:64.87	micro:0.44	macro:0.34	2050 selecionados	SMO
at:11	acertos:79.33	micro:0.69	macro:0.54	2050 selecionados	IBk
at:11	acertos:79.76	micro:0.7	macro:0.55	2050 selecionados	IBk
at:11	acertos:80.77	micro:0.71	macro:0.56	2050 selecionados	IBk
at:11	acertos:81.56	micro:0.73	macro:0.58	2050 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	2050 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	2050 selecionados	IBk
at:11	acertos:82.06	micro:0.73	macro:0.58	2050 selecionados	IBk
at:11	acertos:82.06	micro:0.73	macro:0.58	2050 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	2050 selecionados	IBk
at:11	acertos:56.48	micro:0.5	macro:0.39	2050 selecionados	NaiveBayes
at:11	acertos:56.44	micro:0.5	macro:0.39	2050 selecionados	NaiveBayesSimple
at:11	acertos:77.32	micro:0.68	macro:0.52	2050 selecionados	J48
at:11	acertos:82.42	micro:0.74	macro:0.6	2050 selecionados	MultilayerPerceptron



at:11	acertos:64.91	micro:0.45	macro:0.34	2150 selecionados	SMO
at:11	acertos:79.37	micro:0.7	macro:0.54	2150 selecionados	IBk
at:11	acertos:79.8	micro:0.7	macro:0.55	2150 selecionados	IBk
at:11	acertos:80.84	micro:0.72	macro:0.57	2150 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	2150 selecionados	IBk
